Distancia (pixeles),medicion 1,medicion 2,medicion 3,medicion 4,medicion 5,medicion 6,medicion 7,medicion 8,medicion 9,medicion 10,medicion 11,medicion 12,medicion 13,medicion 14,medicion 15,medicion 16,medicion 17,medicion 18,medicion 19,medicion 20,medicion 21,medicion 22,medicion 23,medicion 24
165,181.667,181.333,220.333,85.0,97.0,66.667,49.0,43.333,116.667,84.0,52.333,30.666999999999998,108.0,109.0,23.333000000000002,19.333,80.333,15.0,36.0,28.666999999999998,22.0,65.333,86.667,66.0
166,182.667,174.333,219.0,86.333,114.0,66.667,48.333,44.0,100.667,95.667,40.0,34.0,112.333,127.667,47.333,18.0,65.333,17.333,43.667,28.0,22.0,71.0,90.667,61.333
167,182.0,166.333,207.333,84.333,161.667,67.333,48.667,44.667,84.333,104.333,21.333000000000002,33.0,109.0,144.0,77.0,17.667,56.0,20.0,55.667,28.666999999999998,23.666999999999998,72.667,73.667,63.0
168,182.0,147.333,160.667,83.667,195.333,67.333,49.333,46.0,58.333,115.333,15.667,33.0,104.333,140.333,85.333,18.0,39.667,34.0,59.667,25.666999999999998,26.666999999999998,68.667,66.0,58.333
169,181.667,153.667,60.0,83.667,197.0,67.333,51.667,45.667,29.333000000000002,126.0,15.0,34.0,103.667,166.333,105.333,17.667,19.667,38.0,59.667,24.0,35.667,65.333,54.667,55.667
170,180.667,174.667,21.333000000000002,89.333,204.0,67.333,53.667,49.667,19.667,136.667,15.0,31.333000000000002,101.0,164.0,124.0,37.333,18.667,50.0,63.0,23.333000000000002,49.667,68.0,44.667,51.667
171,179.667,176.667,59.0,84.667,187.333,67.333,53.667,49.667,23.666999999999998,126.333,15.333,27.333000000000002,101.333,162.667,130.333,49.0,18.333,56.333,67.0,21.0,65.667,60.333,29.0,49.333
172,180.667,179.0,94.0,83.0,159.333,66.0,53.667,49.0,27.0,112.333,15.333,25.333000000000002,74.333,158.0,134.333,77.0,19.333,64.333,67.667,18.333,75.0,56.667,22.333000000000002,31.333000000000002
173,179.0,181.0,142.0,85.333,127.0,68.333,52.667,47.333,50.333,88.0,28.666999999999998,22.666999999999998,58.0,134.333,146.667,88.333,21.666999999999998,71.667,68.333,14.667,89.333,51.0,21.666999999999998,23.0
174,180.333,190.333,181.0,86.667,75.333,68.333,53.667,46.667,72.333,81.333,50.667,21.666999999999998,59.0,145.0,150.333,95.333,27.666999999999998,68.333,63.667,13.667,97.0,41.0,20.666999999999998,19.667
175,180.333,188.333,169.0,85.0,62.333,68.333,54.333,46.667,86.667,61.333,75.667,21.0,47.0,130.0,147.333,114.0,47.0,69.667,62.667,13.667,105.667,26.333000000000002,22.0,16.0
176,178.0,82.333,180.333,85.0,51.667,66.667,55.0,46.667,97.333,61.333,84.333,21.0,31.0,112.667,148.0,132.333,75.0,70.667,54.0,13.667,110.333,24.0,23.0,16.0
177,177.667,163.667,171.333,85.667,87.0,66.0,55.333,48.333,107.333,49.333,98.0,21.666999999999998,39.667,98.0,142.0,144.667,84.333,69.667,44.333,13.667,118.0,17.0,23.666999999999998,15.0
178,176.667,232.333,121.333,84.333,117.333,66.0,56.0,49.667,106.333,45.667,110.0,29.333000000000002,35.667,78.333,140.667,135.333,102.333,66.333,38.333,13.667,118.0,17.0,37.667,15.0
179,180.333,236.0,94.667,84.333,139.667,65.333,55.333,49.0,95.0,56.333,111.667,28.333000000000002,37.667,48.667,126.667,144.0,109.333,61.667,21.666999999999998,15.0,120.667,13.667,50.333,15.667
180,182.667,236.0,53.667,83.333,173.667,65.333,55.333,49.0,89.0,86.0,123.333,40.0,36.667,61.0,110.0,145.0,117.667,56.667,18.0,15.0,128.667,14.0,59.667,15.333
181,182.333,236.0,66.0,85.667,168.667,65.333,51.333,47.333,66.0,102.667,126.667,42.333,52.0,55.667,93.333,149.667,122.333,47.333,15.333,22.666999999999998,139.0,15.0,75.667,19.667
182,181.0,236.0,64.333,89.667,173.333,67.333,54.333,45.0,28.666999999999998,120.333,116.333,45.0,49.667,57.0,68.667,135.0,128.333,30.666999999999998,12.667,19.667,145.0,17.667,97.333,22.333000000000002
183,178.333,236.0,88.333,82.0,184.333,67.333,52.333,47.333,21.0,132.667,92.667,45.0,64.0,54.0,49.333,127.333,138.333,24.333000000000002,13.0,26.333000000000002,135.0,20.0,97.333,35.0
184,179.667,236.0,107.0,79.333,188.667,68.333,54.0,49.0,18.0,139.333,89.667,47.333,59.333,81.333,24.666999999999998,124.333,133.667,19.333,12.667,24.666999999999998,118.333,33.333,99.0,45.0
185,180.0,236.0,108.0,78.667,192.667,69.0,52.667,48.333,18.333,144.0,63.333,48.333,59.667,92.0,18.333,118.0,137.333,17.0,13.333,33.333,123.333,46.333,101.333,66.333
186,181.0,236.0,108.667,79.0,164.667,68.333,51.333,48.333,20.0,137.667,49.333,48.333,56.667,111.333,18.333,103.0,131.333,15.667,13.667,32.0,131.667,53.0,109.0,63.333
187,181.667,231.667,105.667,77.667,113.667,68.667,52.333,48.0,59.0,140.0,27.0,36.333,49.333,124.0,18.0,99.667,128.667,15.667,18.0,40.0,111.0,59.333,119.667,79.333
188,182.667,229.333,96.333,79.667,62.667,67.0,54.667,49.0,81.333,131.0,15.667,32.333,45.333,137.333,18.0,78.333,123.667,15.333,35.667,41.667,98.667,75.0,119.667,78.333
189,182.0,136.667,98.333,85.667,73.667,67.0,54.667,49.667,104.667,115.0,18.0,25.0,36.0,145.333,23.333000000000002,64.333,117.667,16.333,44.333,41.667,105.667,86.0,122.0,87.0
190,181.0,34.0,94.333,88.333,52.0,68.0,58.667,49.667,121.0,101.333,31.666999999999998,20.666999999999998,24.0,149.333,39.667,38.667,117.0,20.333,64.333,41.667,78.667,94.0,116.0,91.667
191,181.0,75.0,92.0,95.667,76.0,66.333,58.333,51.667,124.667,88.333,50.333,17.667,23.0,152.0,58.333,24.0,96.333,22.333000000000002,76.0,41.667,80.0,99.667,111.667,99.0
192,181.0,182.0,92.667,95.0,93.333,66.333,60.333,52.333,148.0,64.0,76.0,18.333,19.667,147.667,70.333,32.333,94.667,49.667,84.0,39.0,55.333,99.667,123.333,99.667
193,181.0,193.333,95.0,95.0,114.0,69.0,58.333,48.667,146.667,37.667,94.333,18.0,20.333,149.667,79.333,32.333,73.0,65.0,92.333,36.333,47.667,109.333,116.333,109.333
194,181.0,193.333,96.667,82.667,136.667,69.667,58.333,46.667,161.667,37.667,104.667,20.0,20.0,146.0,88.0,35.333,53.0,79.667,98.0,30.333000000000002,32.333,108.0,108.667,108.667
195,181.667,191.333,96.333,71.667,131.333,71.333,57.667,47.667,148.0,37.0,120.333,24.666999999999998,31.666999999999998,134.333,89.333,50.0,37.667,82.0,99.667,30.333000000000002,29.333000000000002,109.667,101.667,105.0
196,181.667,190.333,94.667,60.0,132.667,75.333,56.333,47.0,139.667,46.667,136.0,43.0,40.333,124.667,95.667,67.667,29.666999999999998,94.0,103.667,22.666999999999998,20.666999999999998,114.333,97.0,104.333
